pm10,pm2_5,so2,co,o3,no2,kualitas
73,117,53,16,48,42,TIDAK SEHAT
95,165,53,18,55,32,TIDAK SEHAT
59,102,51,14,51,26,TIDAK SEHAT
49,80,49,13,37,21,SEDANG
40,70,45,10,36,11,SEDANG
64,89,52,13,76,21,SEDANG
27,50,40,12,30,11,BAIK
31,51,39,14,30,12,SEDANG
40,60,39,15,28,16,SEDANG
50,59,40,15,28,17,SEDANG
45,71,41,14,38,21,SEDANG
55,87,49,16,43,38,SEDANG
54,92,42,13,56,35,SEDANG
54,86,41,21,50,35,SEDANG
70,115,47,26,62,36,TIDAK SEHAT
67,108,44,23,69,37,TIDAK SEHAT
65,118,47,18,67,30,TIDAK SEHAT
53,74,45,19,86,29,SEDANG
66,110,48,24,62,33,TIDAK SEHAT
74,119,52,33,61,38,TIDAK SEHAT
66,109,51,29,49,39,TIDAK SEHAT
70,98,41,19,55,29,SEDANG
52,68,42,14,55,29,SEDANG
62,95,48,20,48,33,SEDANG
24,47,41,12,49,23,BAIK
57,85,48,13,34,18,SEDANG
72,119,58,44,53,44,TIDAK SEHAT
75,129,53,25,59,50,TIDAK SEHAT
65,120,52,30,52,46,TIDAK SEHAT
63,84,52,12,60,28,SEDANG
58,75,47,14,48,25,SEDANG
38,56,45,14,57,24,SEDANG
41,58,46,9,51,19,SEDANG
57,74,48,11,58,18,SEDANG
57,73,50,11,35,15,SEDANG
52,73,51,12,39,20,SEDANG
40,57,51,15,51,23,SEDANG
40,57,55,14,68,24,SEDANG
45,61,45,15,69,22,SEDANG
54,67,47,14,59,33,SEDANG
67,93,44,19,63,28,SEDANG
67,102,47,20,65,32,TIDAK SEHAT
55,69,51,15,68,29,SEDANG
46,63,48,15,63,32,SEDANG
38,62,52,15,63,32,SEDANG
46,59,51,15,38,29,SEDANG
64,101,39,36,55,45,TIDAK SEHAT
42,83,41,12,59,20,SEDANG
47,91,44,13,45,26,SEDANG
59,82,41,13,70,29,SEDANG
60,118,44,14,99,28,TIDAK SEHAT
63,114,41,24,82,30,TIDAK SEHAT
60,108,42,30,52,43,TIDAK SEHAT
83,128,49,25,52,42,TIDAK SEHAT
46,56,41,15,43,24,SEDANG
61,105,42,18,69,34,TIDAK SEHAT
52,78,41,13,84,29,SEDANG
73,135,40,13,88,14,TIDAK SEHAT
58,109,39,18,60,31,TIDAK SEHAT
40,60,48,13,67,22,SEDANG
39,51,58,15,57,21,SEDANG
43,62,53,18,55,30,SEDANG
54,72,46,12,68,27,SEDANG
58,99,48,20,65,33,SEDANG
66,101,47,22,64,26,TIDAK SEHAT
27,50,44,11,17,12,BAIK
95,160,49,34,137,34,TIDAK SEHAT
75,119,42,20,109,35,TIDAK SEHAT
61,117,44,17,52,31,TIDAK SEHAT
49,62,40,12,59,28,SEDANG
84,126,46,49,42,51,TIDAK SEHAT
